   X,    Y,    Latitude,   Longitude, TMP_201906111700
  33,    7,   49.555482,  -96.777625,      -60.070
  34,    7,   49.556723,  -96.625158,      -60.070
  35,    7,   49.557853,  -96.472687,      -60.070
  36,    7,   49.558872,  -96.320213,      -59.890
  37,    7,   49.559780,  -96.167735,      -59.890
  38,    7,   49.560576,  -96.015255,      -59.890
  39,    7,   49.561261,  -95.862772,      -59.710
  40,    7,   49.561835,  -95.710286,      -59.710
  41,    7,   49.562297,  -95.557799,      -59.710
  42,    7,   49.562649,  -95.405311,      -59.710
  43,    7,   49.562889,  -95.252821,      -59.530
  44,    7,   49.563018,  -95.100331,      -59.530
   1,    8,   49.555872, -101.659558,      -60.610
   2,    8,   49.560673, -101.507255,      -60.610
   3,    8,   49.565363, -101.354936,      -60.610
   4,    8,   49.569942, -101.202601,      -60.610
   5,    8,   49.574410, -101.050251,      -60.430
   6,    8,   49.578766, -100.897885,      -60.430
   7,    8,   49.583011, -100.745504,      -60.430
   8,    8,   49.587145, -100.593108,      -60.430
   9,    8,   49.591168, -100.440699,      -60.430
  10,    8,   49.595080, -100.288275,      -60.250
  11,    8,   49.598880, -100.135839,      -60.250
  12,    8,   49.602569,  -99.983389,      -60.250
  13,    8,   49.606147,  -99.830927,      -60.250
  14,    8,   49.609613,  -99.678452,      -60.250
  15,    8,   49.612969,  -99.525966,      -60.250
  16,    8,   49.616213,  -99.373468,      -60.250
  17,    8,   49.619346,  -99.220959,      -60.430
  18,    8,   49.622368,  -99.068440,      -60.430
  19,    8,   49.625278,  -98.915910,      -60.430
  20,    8,   49.628077,  -98.763370,      -60.430
  21,    8,   49.630765,  -98.610821,      -60.430
  22,    8,   49.633342,  -98.458262,      -60.430
  23,    8,   49.635807,  -98.305695,      -60.430
  24,    8,   49.638162,  -98.153119,      -60.250
  25,    8,   49.640405,  -98.000536,      -60.250
  26,    8,   49.642536,  -97.847945,      -60.250
  27,    8,   49.644557,  -97.695346,      -60.250
  28,    8,   49.646466,  -97.542741,      -60.250
  29,    8,   49.648264,  -97.390129,      -60.250
  30,    8,   49.649950,  -97.237512,      -60.070
  31,    8,   49.651526,  -97.084888,      -60.070
  32,    8,   49.652990,  -96.932260,      -60.070
  33,    8,   49.654343,  -96.779626,      -60.070
  34,    8,   49.655584,  -96.626988,      -60.070
  35,    8,   49.656714,  -96.474346,      -59.890
  36,    8,   49.657733,  -96.321700,      -59.890
  37,    8,   49.658641,  -96.169050,      -59.890
  38,    8,   49.659438,  -96.016398,      -59.710
  39,    8,   49.660123,  -95.863743,      -59.710
  40,    8,   49.660697,  -95.711086,      -59.710
  41,    8,   49.661160,  -95.558427,      -59.710
  42,    8,   49.661511,  -95.405767,      -59.710
  43,    8,   49.661751,  -95.253106,      -59.530
  44,    8,   49.661880,  -95.100444,      -59.530
   1,    9,   49.654622, -101.667053,      -60.610
   2,    9,   49.659424, -101.514580,      -60.610
   3,    9,   49.664115, -101.362090,      -60.610
   4,    9,   49.668695, -101.209584,      -60.430
   5,    9,   49.673163, -101.057062,      -60.430
   6,    9,   49.677521, -100.904525,      -60.430
   7,    9,   49.681767, -100.751973,      -60.430
   8,    9,   49.685902, -100.599406,      -60.430
   9,    9,   49.689925, -100.446826,      -60.250
  10,    9,   49.693838, -100.294231,      -60.250
  11,    9,   49.697639, -100.141623,      -60.250
  12,    9,   49.701329,  -99.989002,      -60.250
  13,    9,   49.704908,  -99.836368,      -60.250
  14,    9,   49.708375,  -99.683722,      -60.250
  15,    9,   49.711731,  -99.531064,      -60.250
  16,    9,   49.714976,  -99.378395,      -60.250
  17,    9,   49.718110,  -99.225715,      -60.250
  18,    9,   49.721132,  -99.073023,      -60.250
  19,    9,   49.724043,  -98.920322,      -60.250
  20,    9,   49.726843,  -98.767610,      -60.250
  21,    9,   49.729531,  -98.614889,      -60.250
  22,    9,   49.732109,  -98.462159,      -60.250
  23,    9,   49.734575,  -98.309420,      -60.250
  24,    9,   49.736929,  -98.156673,      -60.250
  25,    9,   49.739173,  -98.003917,      -60.250
  26,    9,   49.741305,  -97.851154,      -60.250
  27,    9,   49.743326,  -97.698384,      -60.250
  28,    9,   49.745235,  -97.545607,      -60.070
  29,    9,   49.747034,  -97.392823,      -60.070
  30,    9,   49.748721,  -97.240034,      -60.070
  31,    9,   49.750296,  -97.087238,      -60.070
  32,    9,   49.751761,  -96.934438,      -60.070
  33,    9,   49.753114,  -96.781632,      -59.890
