   X,    Y,    Latitude,   Longitude, HPBL_201906300000
  14,    8,   49.609613,  -99.678452,      343.360
  15,    8,   49.612969,  -99.525966,      164.000
  16,    8,   49.616213,  -99.373468,      207.200
  17,    8,   49.619346,  -99.220959,      207.200
  18,    8,   49.622368,  -99.068440,      251.520
  19,    8,   49.625278,  -98.915910,      251.040
  20,    8,   49.628077,  -98.763370,      251.040
  21,    8,   49.630765,  -98.610821,      298.400
  22,    8,   49.633342,  -98.458262,      298.400
  23,    8,   49.635807,  -98.305695,      301.120
  24,    8,   49.638162,  -98.153119,      400.480
  25,    8,   49.640405,  -98.000536,       41.440
  26,    8,   49.642536,  -97.847945,       41.440
  27,    8,   49.644557,  -97.695346,      306.080
  28,    8,   49.646466,  -97.542741,      456.160
  29,    8,   49.648264,  -97.390129,      627.680
  30,    8,   49.649950,  -97.237512,      917.440
  31,    8,   49.651526,  -97.084888,      917.440
  32,    8,   49.652990,  -96.932260,     1268.960
  33,    8,   49.654343,  -96.779626,     1267.360
  34,    8,   49.655584,  -96.626988,     1598.720
  35,    8,   49.656714,  -96.474346,     1421.280
  36,    8,   49.657733,  -96.321700,     1418.560
  37,    8,   49.658641,  -96.169050,     1260.800
  38,    8,   49.659438,  -96.016398,     1259.360
  39,    8,   49.660123,  -95.863743,     1122.880
  40,    8,   49.660697,  -95.711086,     1122.880
  41,    8,   49.661160,  -95.558427,     1006.080
  42,    8,   49.661511,  -95.405767,      902.560
  43,    8,   49.661751,  -95.253106,      615.520
  44,    8,   49.661880,  -95.100444,      615.520
   1,    9,   49.654622, -101.667053,     1528.640
   2,    9,   49.659424, -101.514580,     1734.400
   3,    9,   49.664115, -101.362090,     1734.400
   4,    9,   49.668695, -101.209584,     1969.120
   5,    9,   49.673163, -101.057062,     1752.480
   6,    9,   49.677521, -100.904525,     1757.280
   7,    9,   49.681767, -100.751973,     1386.240
   8,    9,   49.685902, -100.599406,     1386.240
   9,    9,   49.689925, -100.446826,     1385.440
  10,    9,   49.693838, -100.294231,     1235.040
  11,    9,   49.697639, -100.141623,     1103.200
  12,    9,   49.701329,  -99.989002,     1103.200
  13,    9,   49.704908,  -99.836368,      737.440
  14,    9,   49.708375,  -99.683722,      344.480
  15,    9,   49.711731,  -99.531064,      207.360
  16,    9,   49.714976,  -99.378395,      164.160
  17,    9,   49.718110,  -99.225715,      164.160
  18,    9,   49.721132,  -99.073023,      251.520
  19,    9,   49.724043,  -98.920322,      207.520
  20,    9,   49.726843,  -98.767610,      207.360
  21,    9,   49.729531,  -98.614889,      207.360
  22,    9,   49.732109,  -98.462159,      253.120
  23,    9,   49.734575,  -98.309420,      255.040
  24,    9,   49.736929,  -98.156673,       82.880
  25,    9,   49.739173,  -98.003917,       41.440
  26,    9,   49.741305,  -97.851154,       41.440
  27,    9,   49.743326,  -97.698384,      306.080
  28,    9,   49.745235,  -97.545607,      510.080
  29,    9,   49.747034,  -97.392823,      404.000
  30,    9,   49.748721,  -97.240034,      404.000
  31,    9,   49.750296,  -97.087238,      627.840
  32,    9,   49.751761,  -96.934438,     1134.240
  33,    9,   49.753114,  -96.781632,     1423.840
  34,    9,   49.754356,  -96.628822,     1421.280
  35,    9,   49.755486,  -96.476008,     1805.600
  36,    9,   49.756506,  -96.323190,     1419.840
  37,    9,   49.757414,  -96.170368,     1417.760
  38,    9,   49.758210,  -96.017544,     1415.520
  39,    9,   49.758896,  -95.864717,     1415.520
  40,    9,   49.759470,  -95.711888,     1257.600
  41,    9,   49.759932,  -95.559057,     1005.760
  42,    9,   49.760284,  -95.406224,      902.560
  43,    9,   49.760524,  -95.253391,      677.120
  44,    9,   49.760653,  -95.100557,      677.120
   1,   10,   49.753282, -101.674565,     1528.640
   2,   10,   49.758085, -101.521921,     1536.000
   3,   10,   49.762777, -101.369259,     1536.000
   4,   10,   49.767358, -101.216582,     1967.200
