   X,    Y,    Latitude,   Longitude, VRATE_201906240000
  13,   13,   50.099051,  -99.858257,     9300.000
  14,   13,   50.102522,  -99.704921,     9300.000
  15,   13,   50.105881,  -99.551573,     9300.000
  16,   13,   50.109128,  -99.398214,     9000.000
  17,   13,   50.112265,  -99.244843,     8800.000
  18,   13,   50.115290,  -99.091462,     8500.000
  19,   13,   50.118203,  -98.938070,     8500.000
  20,   13,   50.121005,  -98.784668,     8100.000
  21,   13,   50.123696,  -98.631256,     7500.000
  22,   13,   50.126276,  -98.477835,      100.000
  23,   13,   50.128744,  -98.324405,     6800.000
  24,   13,   50.131101,  -98.170966,     6800.000
  25,   13,   50.133346,  -98.017520,     6800.000
  26,   13,   50.135480,  -97.864065,     6700.000
  27,   13,   50.137502,  -97.710604,     6700.000
  28,   13,   50.139414,  -97.557135,     6700.000
  29,   13,   50.141214,  -97.403660,     6800.000
  30,   13,   50.142902,  -97.250178,     7300.000
  31,   13,   50.144479,  -97.096691,     8100.000
  32,   13,   50.145945,  -96.943199,     8400.000
