123	185	Virden	461	SOURIS	9	6	BRANDON	TRANS CANADA WEST PLANNING DISTRICT	921	Town	Arthur-Virden	Town of Virden	8441011.724	17672.16129	361152	5524600
124	139	Woodlands	206	PORTAGE	21	8	INTERLAKE (SELKIRK)	 	 	RM	Lakeside	RM of Woodlands	1241186661	160876.5059	591598	5563040
125	2789	Pembina	161	MORDEN	8	4	MORDEN	 	 	M	Midland	Municipality of Pembina	1143491802	158739.9774	536377	5446980
126	2788	Rhineland	164	MORDEN	8	4	MORDEN	"RHINELAND, PLUM COULEE, GRETNA, ALTONA P.D."	948	M	Emerson	Municipality of Rhineland	960687447.1	150992.9211	599531	5442220
127	166	St. Franois Xavier	177	PORTAGE	21	3	PORTAGE	WHITE HORSE PLAINS PLANNING DISTRICT	945	RM	Morris	RM of St. François Xavier	208344267.1	156855.6864	595745	5537970
128	2466	Glenella-Lansdowne	142	MINNEDOSA	7	6	BRANDON	NEEPAWA AND AREA PLANNING DISTRICT	907	M	Agassiz	Municipality of Glenella-Lansdowne	1275803096	210541.0606	485085	5584900
129	186	Cornwallis	116	BRANDON	11	6	BRANDON	BRANDON AND AREA PLANNING DISTRICT	910	RM	Spruce Woods	RM of Cornwallis	504795149.4	140904.7644	439723	5515780
130	187	Carberry	407	BRANDON	11	6	BRANDON	CYPRESS PLANNING DISTRICT	901	Town	Agassiz	Town of Carberry	4965356.53	14599.83417	474879	5524170
131	141	Teulon	363	SELKIRK	22	8	INTERLAKE (SELKIRK)	SOUTH INTERLAKE PLANNING DISTRICT	908	Town	Lakeside	Town of Teulon	3119901.282	8272.960284	623820	5582760
132	2475	Riding Mountain West	181	DAUPHIN	6	7	DAUPHIN	TRI-ROADS PLANNING DISTRICT	922	RM	Riding Mountain	RM of Riding Mountain West	1743903963	200889.9819	345635	5641430
133	188	Macdonald	146	PORTAGE	21	3	PORTAGE	MACDONALD-RITCHOT PLANNING DISTRICT	919	RM	Morris	RM of Macdonald	1159810968	148702.3258	610941	5502850
134	189	Tache	194	STEINBACH	23	2	STEINBACH	 	 	RM	Dawson Trail	RM of Taché	582517633.2	128137.6364	663964	5511130
135	190	Pipestone	162	SOURIS	9	6	BRANDON	DENNIS COUNTY PLANNING DISTRICT	932	RM	Arthur-Virden	RM of Pipestone	1162203696	137786.9467	345208	5503630
136	225	St. Andrews	174	SELKIRK	22	8	INTERLAKE (SELKIRK)	RED RIVER PLANNING DISTRICT	902	RM	Gimli	RM of St. Andrews	810368994.6	154922.3535	642711	5571020
